clauses,s,T,epochs,includes,accuracy,ta_file
100.0,5.0,20.0,10.0,2173.0,75.705132,TA_file_100_5_20_10.txt
100.0,7.5,20.0,10.0,3605.0,74.935898,TA_file_100_7_20_10.txt
100.0,10.0,20.0,10.0,5018.0,72.275635,TA_file_100_10_20_10.txt
